cod_cidade,cidade,uf,loggi,dits_caj,populucao,area,malha_aerea
4205902,Gaspar (SC),SC,0,622.528,67399,386.354,0
4201406,Araranguá (SC),SC,0,894.476,67097,303.799,0
5205497,Cidade Ocidental (GO),GO,0,1015.000083,66800,388.162,0
3537602,Peruíbe (SP),SP,0,137.026,66578,326.214,0
4202305,Biguaçu (SC),SC,0,675.904,66560,324.521,0
4207502,Indaial (SC),SC,0,614.011,66522,430.534,0
2305233,Horizonte (CE),CE,0,2885.00066,65992,159.972,0
4303905,Campo Bom (RS),RS,0,1137.000635,64923,61.406,0
4122404,Rolândia (PR),PR,0,575.677,64734,460.153,0
4312401,Montenegro (RS),RS,0,1180.000648,63874,420.017,0
3149309,Pedro Leopoldo (MG),MG,0,623.618,63841,291.038,0
2609402,Moreno (PE),PE,0,2634.000237,62126,195.603,0
3137601,Lagoa Santa (MG),MG,0,620.062,61799,231.994,0
3505906,Batatais (SP),SP,0,353.976,61478,850.718,0
4208302,Itapema (SC),SC,0,628.308,61256,59.022,0
1501501,Benevides (PA),PA,0,2862.000777,61013,187.868,0
2301901,Barbalha (CE),CE,0,2462.000496,59821,479.184,0
3506359,Bertioga (SP),SP,0,103.624,59348,491.701,0
3304300,Rio Bonito (RJ),RJ,0,511.581,58298,462.176,0
3533403,Nova Odessa (SP),SP,0,127.128,58239,73.298,0
3507001,Boituva (SP),SP,0,121.404,57942,249.014,0
3301850,Guapimirim (RJ),RJ,0,467.575,57686,360.813,0
4321204,Taquara (RS),RS,0,1101.000097,57542,457.13,0
3531803,Monte Mor (SP),SP,0,122.702,57262,240.787,0
3524006,Itupeva (SP),SP,0,74.025,57089,200.516,0
3300803,Cachoeiras de Macacu (RJ),RJ,0,509.139,56903,955.806,0
4314050,Parobé (RS),RS,0,1111.000919,56291,109.026,0
3546801,Santa Isabel (SP),SP,0,59.449,56017,361.494,0
4210100,Mafra (SC),SC,0,525.306,55890,1404.206,0
5206206,Cristalina (GO),GO,0,909.872,55363,6160.722,0
2313500,Trairi (CE),CE,0,3192479,55212,924.555,0
3537800,Piedade (SP),SP,0,135.566,55083,745.536,0
4207007,Içara (SC),SC,0,866.365,54844,228.055,0
4203808,Canoinhas (SC),SC,0,589.204,54384,1144.837,0
3510401,Capivari (SP),SP,0,138.663,54302,323.198,0
3531100,Mongaguá (SP),SP,0,94.653,54277,143.171,0
3524709,Jaguariúna (SP),SP,0,128.346,54243,142.437,0
4109807,Ibiporã (PR),PR,0,519.878,53359,300.187,0
1718204,Porto Nacional (TO),TO,0,1665.000883,52811,4449.892,0
